0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
400,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0
500,250,250,250,250,250,250,250,250,250,250,250
800,0,23.9,63.6,111.4,159.1,190.9,238.6,286.4,334.1,373.9,413.6
1000,-15.9,37.5,90.8,144.2,197.5,250.9,304.2,357.6,411,464.3,517.7
1200,-19.1,38.2,95.5,152.7,210,267.3,324.5,381.8,439.1,496.4,553.6
1400,-22.3,38.6,99.5,160.4,221.3,282.2,343.1,404,464.9,525.8,586.7
1600,-25.5,37.5,100.4,163.4,226.3,289.2,352.2,415.1,478,541,603.9
1800,-28.6,34.6,97.9,161.1,224.4,287.6,350.9,414.1,477.4,540.7,603.9
2000,-31.8,29.8,91.4,153.1,214.7,276.3,338,399.6,461.2,522.9,584.5
2200,-35,25,85,145,205,265,325.1,385.1,445.1,505.1,565.1
2400,-38.2,20,78.2,136.4,194.6,252.8,311,369.2,427.4,485.6,543.8
2600,-41.4,15,71.3,127.7,184,240.4,296.7,353.1,409.4,465.8,522.1
2800,-44.5,9.9,64.3,118.8,173.2,227.7,282.1,336.5,391,445.4,499.9
3000,-47.7,4.8,57.3,109.9,162.4,214.9,267.5,320,372.5,425.1,477.6
3100,-47.7,-47.7,-47.7,-47.7,-47.7,-47.7,-47.7,-47.7,-47.7,-47.7,-47.7
3150,-63.6,-63.6,-63.6,-63.6,-63.6,-63.6,-63.6,-63.6,-63.6,-63.6,-63.6
